,name,trip_link,website,phone,email,city,address,stars
12,"Hotel Indigo Rome - St. George, an IHG hotel",https://www.tripadvisor.com/Hotel_Review-g187791-d634943-Reviews-Hotel_Indigo_Rome_St_George_an_IHG_hotel-Rome_Lazio.html,nothing,1-877-424-5130,nothing,Rome,"Via Giulia, 62, 00186 Rome Italy",5
13,Grand Hotel Palace,https://www.tripadvisor.com/Hotel_Review-g187791-d229014-Reviews-Grand_Hotel_Palace-Rome_Lazio.html,www.millenniumhotels.com,+44 20 7872 2445,reservations.rome@millenniumhotels.com,Rome,"Via Vittorio Veneto 70, 00187 Rome Italy",5
14,Hotel Eden,https://www.tripadvisor.com/Hotel_Review-g187791-d191331-Reviews-Hotel_Eden-Rome_Lazio.html,www.dorchestercollection.com,+39 06 478121,reservations.her@dorchestercollection.com,Rome,"Via Ludovisi 49, 00187 Rome Italy",5
15,Radisson Blu GHR Hotel Rome,https://www.tripadvisor.com/Hotel_Review-g187791-d203177-Reviews-Radisson_Blu_GHR_Hotel_Rome-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Domenico Chelini 41 (Piazza Euclide - Parioli), 00197 Rome Italy",5
16,Hotel de Russie,https://www.tripadvisor.com/Hotel_Review-g187791-d232851-Reviews-Hotel_de_Russie-Rome_Lazio.html,www.roccofortehotels.com,+39 390 632 8881,reservations.derussie@roccofortehotels.com,Rome,"Via Del Babuino 9 Piazza del Popolo, 00187 Rome Italy",5
17,The First Roma Arte,https://www.tripadvisor.com/Hotel_Review-g187791-d2213312-Reviews-The_First_Roma_Arte-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via del Vantaggio 14, 00186 Rome Italy",5
18,The Inn At The Roman Forum,https://www.tripadvisor.com/Hotel_Review-g187791-d596437-Reviews-The_Inn_At_The_Roman_Forum-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via degli Ibernesi 30, 00185 Rome Italy",5
19,The Pantheon Iconic Rome Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d14009144-Reviews-The_Pantheon_Iconic_Rome_Hotel-Rome_Lazio.html,www.marriott.com,Ask a question,nothing,Rome,"Via di Santa Chiara 4/A, 00186 Rome Italy",5
20,Navona Palace Luxury Inn,https://www.tripadvisor.com/Hotel_Review-g187791-d1806826-Reviews-Navona_Palace_Luxury_Inn-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via della Pace 36/36/A, 00186 Rome Italy",5
21,Hotel Splendide Royal,https://www.tripadvisor.com/Hotel_Review-g187791-d229036-Reviews-Hotel_Splendide_Royal-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via di Porta Pinciana 14, 00187 Rome Italy",5
22,Hotel Hassler,https://www.tripadvisor.com/Hotel_Review-g187791-d191332-Reviews-Hotel_Hassler-Rome_Lazio.html,nothing,Ask a question,nothing,Rome,"Piazza della Trinita' Dei Monti 6, 00187 Rome Italy",5
23,"Palazzo Montemartini Rome, A Radisson Collection Hotel",https://www.tripadvisor.com/Hotel_Review-g187791-d3932268-Reviews-Palazzo_Montemartini_Rome_A_Radisson_Collection_Hotel-Rome_Lazio.html,nothing,Ask a question,nothing,Rome,"Largo Giovanni Montemartini, 00185 Rome Italy",5
24,The H'All Tailor Suite,https://www.tripadvisor.com/Hotel_Review-g187791-d12255168-Reviews-The_H_All_Tailor_Suite-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Giuseppe Pisanelli 23/25, 00196 Rome Italy",5
25,Eitch Borromini,https://www.tripadvisor.com/Hotel_Review-g187791-d10754035-Reviews-Eitch_Borromini-Rome_Lazio.html,www.eitchborromini.com,nothing,nothing,Rome,"Via di Santa Maria Dell'Anima 30, 00186 Rome Italy",5
26,Roma Luxus Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d10557088-Reviews-Roma_Luxus_Hotel-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Largo Angelicum 4, 00184 Rome Italy",5
27,Palazzo Dama Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d9584364-Reviews-Palazzo_Dama_Hotel-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Lungotevere Arnaldo da Brescia 2, 00196 Rome Italy",5
28,Rhona's Rooms B&B,https://www.tripadvisor.com/Hotel_Review-g187791-d1626885-Reviews-Rhona_s_Rooms_B_B-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Dei Condotti 23, 00187 Rome Italy",5
29,Palm Suite,https://www.tripadvisor.com/Hotel_Review-g187791-d15611156-Reviews-Palm_Suite-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via del Colosseo 20, 00184 Rome Italy",5
30,Singer Palace Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d13393444-Reviews-Singer_Palace_Hotel-Rome_Lazio.html,singerpalacehotel.com,+39 06 697 6161,singer@singerpalacehotel.com,Rome,"Via Alessandro Specchi 10, 00186 Rome Italy",5
31,NH Collection Roma Fori Imperiali,https://www.tripadvisor.com/Hotel_Review-g187791-d17506625-Reviews-NH_Collection_Roma_Fori_Imperiali-Rome_Lazio.html,www.nh-hotels.com,0034916008321,customercare@nh-hotels.com,Rome,"Via di Santa Eufemia 19, 00187 Rome Italy",5
32,"Rome Cavalieri, A Waldorf Astoria Hotel",https://www.tripadvisor.com/Hotel_Review-g187791-d190138-Reviews-Rome_Cavalieri_A_Waldorf_Astoria_Hotel-Rome_Lazio.html,www.hilton.com,+39-06-35091,nothing,Rome,"Via Alberto Cadlolo 101, 00136 Rome Italy",5
33,NH Collection Roma Palazzo Cinquecento,https://www.tripadvisor.com/Hotel_Review-g187791-d8865999-Reviews-NH_Collection_Roma_Palazzo_Cinquecento-Rome_Lazio.html,www.nh-hotels.com,0034916008321,customercare@nh-hotels.com,Rome,"Piazza dei Cinquecento, 90, 00185 Rome Italy",5
34,"Hotel de la Ville, A Rocco Forte Hotel",https://www.tripadvisor.com/Hotel_Review-g187791-d17399393-Reviews-Hotel_de_la_Ville_A_Rocco_Forte_Hotel-Rome_Lazio.html,www.roccofortehotels.com,+39 06 977931,reservations.delaville@roccofortehotels.com,Rome,"Via Sistina 69, 00187 Rome Italy",5
35,Anantara Palazzo Naiadi Rome Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d275876-Reviews-Anantara_Palazzo_Naiadi_Rome_Hotel-Rome_Lazio.html,www.anantarahotels.com,Ask a question,nothing,Rome,"Piazza della Repubblica 47, 00185 Rome Italy",5
36,Hotel Vilon,https://www.tripadvisor.com/Hotel_Review-g187791-d12673753-Reviews-Hotel_Vilon-Rome_Lazio.html,www.hotelvilon.com,+39 06 878187,info@hotelvilon.com,Rome,"Via Dell' Arancio 69, 00186 Rome Italy",5
37,"Aleph Rome Hotel, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g187791-d270031-Reviews-Aleph_Rome_Hotel_Curio_Collection_by_Hilton-Rome_Lazio.html,www.hilton.com,+39-06-4229001,nothing,Rome,"Via di San Basilio 15, 00187 Rome Italy",5
38,Gasometer Urban Suites,https://www.tripadvisor.com/Hotel_Review-g187791-d13794626-Reviews-Gasometer_Urban_Suites-Rome_Lazio.html,www.gasometerurbansuites.com,+39 06 9151 8300,info@gusrome.com,Rome,"Via del Porto Fluviale 35/37, 00154 Rome Italy",5
39,Sofitel Roma Villa Borghese Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d229019-Reviews-Sofitel_Roma_Villa_Borghese_Hotel-Rome_Lazio.html,all.accor.com,+39 06 478021,H1312@SOFITEL.COM,Rome,"Via Lombardia 47, 00187 Rome Italy",5
40,Villa Agrippina Gran Melia,https://www.tripadvisor.com/Hotel_Review-g187791-d2163417-Reviews-Villa_Agrippina_Gran_Melia-Rome_Lazio.html,booking.melia.com,Ask a question,nothing,Rome,"Via del Gianicolo 3, 00165 Rome Italy",5
41,J.K. Place Roma,https://www.tripadvisor.com/Hotel_Review-g187791-d3929140-Reviews-J_K_Place_Roma-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Di Monte D'Oro 30, 00186 Rome Italy",5
42,"Hotel Indigo Rome - St. George, an IHG hotel",https://www.tripadvisor.com/Hotel_Review-g187791-d634943-Reviews-Hotel_Indigo_Rome_St_George_an_IHG_hotel-Rome_Lazio.html,nothing,1-877-424-5130,nothing,Rome,"Via Giulia, 62, 00186 Rome Italy",5
43,Grand Hotel Palace,https://www.tripadvisor.com/Hotel_Review-g187791-d229014-Reviews-Grand_Hotel_Palace-Rome_Lazio.html,www.millenniumhotels.com,+44 20 7872 2445,reservations.rome@millenniumhotels.com,Rome,"Via Vittorio Veneto 70, 00187 Rome Italy",5
44,Hotel Eden,https://www.tripadvisor.com/Hotel_Review-g187791-d191331-Reviews-Hotel_Eden-Rome_Lazio.html,www.dorchestercollection.com,+39 06 478121,reservations.her@dorchestercollection.com,Rome,"Via Ludovisi 49, 00187 Rome Italy",5
45,Radisson Blu GHR Hotel Rome,https://www.tripadvisor.com/Hotel_Review-g187791-d203177-Reviews-Radisson_Blu_GHR_Hotel_Rome-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Domenico Chelini 41 (Piazza Euclide - Parioli), 00197 Rome Italy",5
46,Hotel de Russie,https://www.tripadvisor.com/Hotel_Review-g187791-d232851-Reviews-Hotel_de_Russie-Rome_Lazio.html,www.roccofortehotels.com,+39 390 632 8881,reservations.derussie@roccofortehotels.com,Rome,"Via Del Babuino 9 Piazza del Popolo, 00187 Rome Italy",5
47,The First Roma Arte,https://www.tripadvisor.com/Hotel_Review-g187791-d2213312-Reviews-The_First_Roma_Arte-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via del Vantaggio 14, 00186 Rome Italy",5
48,The Inn At The Roman Forum,https://www.tripadvisor.com/Hotel_Review-g187791-d596437-Reviews-The_Inn_At_The_Roman_Forum-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via degli Ibernesi 30, 00185 Rome Italy",5
49,The Pantheon Iconic Rome Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d14009144-Reviews-The_Pantheon_Iconic_Rome_Hotel-Rome_Lazio.html,www.marriott.com,Ask a question,nothing,Rome,"Via di Santa Chiara 4/A, 00186 Rome Italy",5
50,Navona Palace Luxury Inn,https://www.tripadvisor.com/Hotel_Review-g187791-d1806826-Reviews-Navona_Palace_Luxury_Inn-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via della Pace 36/36/A, 00186 Rome Italy",5
51,Hotel Splendide Royal,https://www.tripadvisor.com/Hotel_Review-g187791-d229036-Reviews-Hotel_Splendide_Royal-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via di Porta Pinciana 14, 00187 Rome Italy",5
52,Hotel Hassler,https://www.tripadvisor.com/Hotel_Review-g187791-d191332-Reviews-Hotel_Hassler-Rome_Lazio.html,nothing,Ask a question,nothing,Rome,"Piazza della Trinita' Dei Monti 6, 00187 Rome Italy",5
53,"Palazzo Montemartini Rome, A Radisson Collection Hotel",https://www.tripadvisor.com/Hotel_Review-g187791-d3932268-Reviews-Palazzo_Montemartini_Rome_A_Radisson_Collection_Hotel-Rome_Lazio.html,nothing,Ask a question,nothing,Rome,"Largo Giovanni Montemartini, 00185 Rome Italy",5
54,The H'All Tailor Suite,https://www.tripadvisor.com/Hotel_Review-g187791-d12255168-Reviews-The_H_All_Tailor_Suite-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Giuseppe Pisanelli 23/25, 00196 Rome Italy",5
55,Eitch Borromini,https://www.tripadvisor.com/Hotel_Review-g187791-d10754035-Reviews-Eitch_Borromini-Rome_Lazio.html,www.eitchborromini.com,nothing,nothing,Rome,"Via di Santa Maria Dell'Anima 30, 00186 Rome Italy",5
56,Roma Luxus Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d10557088-Reviews-Roma_Luxus_Hotel-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Largo Angelicum 4, 00184 Rome Italy",5
57,Palazzo Dama Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d9584364-Reviews-Palazzo_Dama_Hotel-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Lungotevere Arnaldo da Brescia 2, 00196 Rome Italy",5
58,Rhona's Rooms B&B,https://www.tripadvisor.com/Hotel_Review-g187791-d1626885-Reviews-Rhona_s_Rooms_B_B-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Dei Condotti 23, 00187 Rome Italy",5
59,Palm Suite,https://www.tripadvisor.com/Hotel_Review-g187791-d15611156-Reviews-Palm_Suite-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via del Colosseo 20, 00184 Rome Italy",5
60,The St. Regis Rome,https://www.tripadvisor.com/Hotel_Review-g187791-d203087-Reviews-The_St_Regis_Rome-Rome_Lazio.html,www.marriott.com,Ask a question,nothing,Rome,"Via Vittorio Emanuele Orlando, 3, 00185 Rome Italy",5
61,Hotel Locarno,https://www.tripadvisor.com/Hotel_Review-g187791-d198734-Reviews-Hotel_Locarno-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Della Penna 22, 00186 Rome Italy",5
62,Appartamenti Marcoaurelio49,https://www.tripadvisor.com/Hotel_Review-g187791-d6109074-Reviews-Appartamenti_Marcoaurelio49-Rome_Lazio.html,appartamentimarcoaurelio49.com,+39 06 7720 9761,viamarcoaurelio49@gmail.com,Rome,"Via Marco Aurelio 49, 00184 Rome Italy",5
63,"The Westin Excelsior, Rome",https://www.tripadvisor.com/Hotel_Review-g187791-d203080-Reviews-The_Westin_Excelsior_Rome-Rome_Lazio.html,www.marriott.com,Ask a question,nothing,Rome,"125, Via Vittorio Veneto, 00187 Rome Italy",5
64,The First Roma Dolce,https://www.tripadvisor.com/Hotel_Review-g187791-d15327157-Reviews-The_First_Roma_Dolce-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via del Corso 63, 00186 Rome Italy",5
65,Elizabeth Unique Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d13368987-Reviews-Elizabeth_Unique_Hotel-Rome_Lazio.html,nothing,+39 06 322 3633,nothing,Rome,"Via delle Colonnette 35, 00186 Rome Italy",5
66,Hotel Palazzo Manfredi – Small Luxury Hotels of the World,https://www.tripadvisor.com/Hotel_Review-g187791-d1582498-Reviews-Hotel_Palazzo_Manfredi_Small_Luxury_Hotels_of_the_World-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Labicana 125, 00184 Rome Italy",5
67,Eccelso Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d13809031-Reviews-Eccelso_Hotel-Rome_Lazio.html,www.eccelsohotel.com,+39 06 3975 1626,info@eccelsohotel.com,Rome,"Via Catone 3, 00192 Rome Italy",5
68,Parco dei Principi Grand Hotel & SPA,https://www.tripadvisor.com/Hotel_Review-g187791-d203141-Reviews-Parco_dei_Principi_Grand_Hotel_SPA-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via G. Frescobaldi, 5, 00198 Rome Italy",5
69,Harry's Bar Hotel & Restaurant,https://www.tripadvisor.com/Hotel_Review-g187791-d10854537-Reviews-Harry_s_Bar_Hotel_Restaurant-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via San Vincenzo 10, 00187 Rome Italy",5
70,Aldrovandi Villa Borghese,https://www.tripadvisor.com/Hotel_Review-g187791-d228986-Reviews-Aldrovandi_Villa_Borghese-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Ulisse Aldrovandi 15, 00197 Rome Italy",5
71,Boutique Centrale Palace,https://www.tripadvisor.com/Hotel_Review-g187791-d10665047-Reviews-Boutique_Centrale_Palace-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Frattina 81, 00187 Rome Italy",5
72,Hotel d'Inghilterra Roma - Starhotels Collezione,https://www.tripadvisor.com/Hotel_Review-g187791-d203146-Reviews-Hotel_d_Inghilterra_Roma_Starhotels_Collezione-Rome_Lazio.html,www.starhotels.it,+39 06 699811,reservations.inghilterra.rm@starhotels.it,Rome,"Via Bocca di Leone 14, 00187 Rome Italy",5
73,Nerva Accomodation Cavour,https://www.tripadvisor.com/Hotel_Review-g187791-d14004048-Reviews-Nerva_Accomodation_Cavour-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Cavour 150, 00184 Rome Italy",5
74,Margutta 19,https://www.tripadvisor.com/Hotel_Review-g187791-d12297843-Reviews-Margutta_19-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Margutta 19, 00187 Rome Italy",5
75,Pantheon Relais,https://www.tripadvisor.com/Hotel_Review-g187791-d2636942-Reviews-Pantheon_Relais-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Dei Pastini 119, 00186 Rome Italy",5
76,Suite Fontana di Trevi,https://www.tripadvisor.com/Hotel_Review-g187791-d7383423-Reviews-Suite_Fontana_di_Trevi-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via in Arcione 92, 00187 Rome Italy",5
77,Pantheon Caesar Relais,https://www.tripadvisor.com/Hotel_Review-g187791-d6975600-Reviews-Pantheon_Caesar_Relais-Rome_Lazio.html,www.pantheoncaesarrelais.it,+39 06 6880 5850,info@pantheoncaesarrelais.it,Rome,"Largo De' Ginnasi 2, 00186 Rome Italy",5
78,B&B Armonie Romane,https://www.tripadvisor.com/Hotel_Review-g187791-d2091947-Reviews-B_B_Armonie_Romane-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via di Porta Fabbrica 33, 00165 Rome Italy",5
79,Escape Luxury Suite,https://www.tripadvisor.com/Hotel_Review-g187791-d12658760-Reviews-Escape_Luxury_Suite-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via delle Quattro Fontane, 15, 00187 Rome Italy",5
80,Maison Maneli B&B,https://www.tripadvisor.com/Hotel_Review-g187791-d8300147-Reviews-Maison_Maneli_B_B-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Germanico 107, 00192 Rome Italy",5
81,D O M Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d6024354-Reviews-D_O_M_Hotel-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Giulia 131, Rome Italy",5
82,Next Stop St Peter,https://www.tripadvisor.com/Hotel_Review-g187791-d3741191-Reviews-Next_Stop_St_Peter-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Nicolo III, 00165 Rome Italy",5
83,Il Giardino Dell'Argano Rosso,https://www.tripadvisor.com/Hotel_Review-g187791-d15634209-Reviews-Il_Giardino_Dell_Argano_Rosso-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Angelo Bellani 28, 00153 Rome Italy",5
84,Neman Maison Experience I Pantheon,https://www.tripadvisor.com/Hotel_Review-g187791-d17762054-Reviews-Neman_Maison_Experience_I_Pantheon-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via del Portico d'Ottavia 9, 00186 Rome Italy",5
85,St. Anthony Guest House,https://www.tripadvisor.com/Hotel_Review-g187791-d13657002-Reviews-St_Anthony_Guest_House-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Piazza Asti 5, 00182 Rome Italy",5
86,Central Domus Roma,https://www.tripadvisor.com/Hotel_Review-g187791-d15324641-Reviews-Central_Domus_Roma-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Principe Amedeo 128, 00185 Rome Italy",5
87,Fendi Private Suites,https://www.tripadvisor.com/Hotel_Review-g187791-d9452064-Reviews-Fendi_Private_Suites-Rome_Lazio.html,www.fendiprivatesuites.com,nothing,nothing,Rome,"Via Della Fontanella Borghese 48, 00187 Rome Italy",5
88,Residenza Venti Settembre,https://www.tripadvisor.com/Hotel_Review-g187791-d15289835-Reviews-Residenza_Venti_Settembre-Rome_Lazio.html,www.residenzaventisettembre.com,+390692114362,info@residenzaventisettembre.com,Rome,"Via XX Settembre, 58a, 00187 Rome Italy",4
89,QuodLibet,https://www.tripadvisor.com/Hotel_Review-g187791-d1084840-Reviews-QuodLibet-Rome_Lazio.html,quodlibetroma.com,+39 347 335 5160,info@quodlibetroma.com,Rome,"Via Barletta 29, 00192 Rome Italy",4
